standard_part,module,type,encode,decode,state_machine,tests,golden_vectors,external_oracle,status,notes
ISO11783-13,src/isobus/fs/client.rs,File Server client,yes,yes,yes,unit+fixtures,yes,none,implemented-needs-external-oracle,"FS connect/read/write behavior plus property/status/volume/NACK/open/read/seek/write/close, directory change/current-directory, relative-open/read, volume-transition, and error-response byte fixtures exist; classic/v2 property/status/CCM/volume decoders reject short, overlong, bad-padding, reserved volume-state, truncated-name, and trailing payloads; v2 VolumeStatus encoding rejects non-ASCII or over-255-byte names instead of truncating; read/current-directory responses and volume-status broadcasts reject mismatched declared lengths, bad tails, or reserved states before state mutation; read/write success responses saturate local u32 file positions instead of overflowing after high seeks; solicited FileServerProperties/FileServerStatus responses now emit typed TAN-bearing events and update cached accessors, while raw FileServerStatus broadcasts update the client cache without a pending TAN; fallible raw request builders distinguish duplicate connects, invalid/overlong paths, unknown handles, oversized writes, and disconnected directory requests while preserving compatibility Option wrappers; duplicate/non-disconnected connect InvalidState errors and failed-connect rollback/retry are unit-tested; media-not-present and read-only errors are fixture-backed; add external reference traces."
ISO11783-13,src/isobus/fs/server.rs,File Server server,yes,yes,yes,unit+fixtures+standard-suite,yes,none,implemented-needs-external-oracle,"Server semantics plus property/status/volume/NACK/open/read/seek/write/close, directory change/current-directory, relative-open/read, MoveFile/DeleteFile/GetFileAttributes/SetFileAttributes/InitializeVolume, volume-transition, and error-response byte fixtures exist; malformed property/status/CCM/volume codec payloads, including reserved volume states, reject instead of default-decoding; v2 VolumeStatus encoding rejects non-ASCII or over-255-byte names instead of truncating; supported command requests now reject hidden non-FF tails and mismatched declared path/data lengths for CCM, OpenFile, ReadFile, WriteFile, ChangeDirectory, and MoveFile before connection or file-state mutation; path traversal rejection, root absolute paths, volume-label validation, server preload normalization/rejection, current-directory one-byte response length bounds, u32-saturated directory file-size reporting/read bounds, checked write-position growth rejection before oversized resize, relative OpenFile resolution against current directory, directory wildcard filtering, multi-client handle ownership, TAN cache expiry, same-TAN different-operation replay without side effects while cached, source-scoped TAN cache replay, canonical CCM keepalive connection gating, removed-volume cleanup, read-only write/delete denial, attribute get/set validation for read-only/hidden/system/archive bits, open-file safety checks before move/delete, and initialize-volume reset of files/directories/open handles are unit-tested; add external reference traces."
ISO11783-14,src/isobus/sc/master.rs,Section Control master,yes,yes,yes,unit+fixtures+standard-suite,yes,none,implemented-needs-external-oracle,"Ready/PlayBack status, wrong-message-code rejection, wrong-PGN direct-handler rejection, invalid NULL/broadcast source-address rejection, strict short/overlong status-payload rejection, explicit try_handle_client_status validation errors for wrong-PGN, invalid-source, and bad-width status frames, reserved master/client state-byte rejection, disabled-client status sequence-field rejection before active master mutation, reserved tail/busy/function-error byte rejection, Ready/PlayBack/Abort sequence-number validation including reserved high values, unsupported Recording/RecordingCompletion status rejection, busy-flag, pause/resume lifecycle including an active two-step pause/resume path, duplicate/out-of-range step-id rejection, wire-visible step-id emission for zero/non-zero/max ids, wrong-sequence PlayBack fixtures, configurable multi-client Ready/PlayBack acknowledgement gating, two-step PlayBack progression/completion, protocol-visible Abort status for explicit aborts plus standard-suite Ready and Active timeout boundaries, client-abort propagation, and SectionRouter step-id integration exist; active acknowledgements require all configured clients to report the current wire step id; needs external SC trace/oracle comparison."
ISO11783-14,src/isobus/sc/client.rs,Section Control client,yes,yes,yes,unit+fixtures+standard-suite,yes,none,implemented-needs-external-oracle,"Ready/PlayBack, wrong-message-code rejection, wrong-PGN direct-handler rejection, invalid NULL/broadcast source-address rejection, strict short/overlong status-payload rejection, explicit try_handle_master_status validation errors for wrong-PGN, invalid-source, and bad-width status frames, reserved master/client state-byte rejection, inactive-master status sequence-field rejection before active client mutation, reserved tail/busy/function-error byte rejection, Ready/PlayBack/Abort sequence-number validation including reserved high values, unsupported Recording/RecordingCompletion status rejection, pause/resume including an active two-step pause/resume path, two-step playback, Abort status, and busy-timeout Abort status fixtures exist; Active+Ready after playback pauses and PlayBack resumes; zero/non-zero/max step ids round-trip through client status; the SC client observes PlayBack step requests and sends active acknowledgement; needs external SC trace/oracle comparison."
ISO11783-12,"src/isobus/functionalities.rs",Control Function Functionalities PGN,yes,yes,yes,unit+fixtures+property+AgIsoStack,yes,AgIsoStack,implemented-needs-external-oracle,"PGN 0xFC8E encode/decode is fixture-backed for the canonical leading-FF byte, per-function option-count bytes, single-frame FF padding, Minimum CF heartbeat/no-option examples, selected AgIsoStack UT Working Set, AUX-N Functions, and TC-SC Client advertisements, plus a mixed AUX-N/SC/TECU/TIM/FS capability advertisement; decoder rejects bad leading bytes, wrong option lengths, unknown functionality IDs, duplicate blocks, truncated option blocks, and non-FF trailing bytes; the PGN Request responder builds the advertised payload, including a TP/BAM response for the long capability-mix fixture, and ignores requests addressed to other CFs; property-style fuzz smoke feeds arbitrary bytes through the decoder; add physical/external capability-advertisement captures."
TIM,"src/isobus/tim.rs;src/isobus/functionalities.rs",TIM command/status codecs,yes,yes,yes,unit+fixtures+property+standard-suite,yes,none,implemented-needs-external-oracle,"First PTO state plus max-speed direction edge, hitch state plus min/max/out-of-range position edges, aux-valve command plus max-index/max-flow edge, malformed fixed-size rejection, invalid NULL/broadcast source-address rejection, reserved boolean-byte rejection, option-bit payload, option subset/missing-option, aux-valve index bounds, hitch position bounds, TIM functionality option-packing, authority/interlock guard fixtures/tests, revoked authority staying safe until a fresh request/grant cycle, and arbitrary-byte property coverage for TIM fixed-size decoders exist; add external/reference TIM command/status traces."
NMEA2000,src/net/fast_packet.rs,Fast Packet,yes,yes,yes,unit+fixtures+property+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"10-byte two-frame, 9-byte minimum, 223-byte max first/last, reassembled-message timestamp propagation from the last received CAN frame, bad-counter, invalid-first-length, standard-suite malformed first-frame size rejection, standard-suite skipped-frame-counter discard without partial delivery, timeout cleanup including boundary checks and parallel non-zero sequence sessions, first-frame restart, two-source interleaving, same-source different-sequence fixtures, three-bit sequence wrap-around, direct transmit invalid high-bit PGN rejection before identifier normalization, NULL/broadcast source-address rejection, generated-stream final-frame completion properties, arbitrary raw RX frame boundedness under session caps, NMEA Product Info and Config Info reassembly into the management layer, GNSS Position Data PGN 129029 reassembly into NMEAInterface, GNSS Satellites in View PGN 129540 public stream reassembly, session-cap unit tests, and selected AgIsoStack NMEA2000MessageInterface Datum/GNSS Fast Packet wrapping vectors added; add external Fast Packet traces from public devices."
NMEA2000,src/nmea/interface.rs,NMEA2000 PGN interface,yes,yes,yes,unit+fixtures+property+AgIsoStack,yes,AgIsoStack,implemented-needs-external-oracle,"GNSS rapid position, rapid-position reserved coordinate rejection, COG/SOG reference and reserved numeric special-value rejection, PGN 129027 Position Delta High Precision Rapid Update signed 24-bit deltas, heading, magnetic variation, System Time, detailed position including PGN 129029 fast-packet reassembly, DOPs, and attitude byte fixtures exercise cache/event updates; selected AgIsoStack NMEA2000 navigation examples pin raw PositionRapidUpdate latitude/longitude, COG/SOG, PositionDeltaHighPrecisionRapidUpdate, RateOfTurn, and VesselHeading bytes/scaling plus reserved-reference and numeric special-value rejection; NULL/broadcast source addresses are rejected before cache mutation or event emission; Attitude rejects unavailable and reserved signed axes before cache mutation; Magnetic Variation fixtures cover exact bytes, unavailable sentinel, reserved-source rejection, reserved signed-value rejection, and bad-tail rejection; session two-node integration (`tests/standard/session_harness.rs`) has one node broadcast a GNSS position and the peer Gnss plugin observe and cache it; System Time unknown source bytes, reserved date/time numeric special values, detailed-position reserved fix methods, signed coordinate/altitude/DOP special-value rejection, reference-station count/tail-length mismatches, and GNSS DOPs reserved high bits/mode values and signed special values are rejected instead of prefix/default-decoded; GNSSBatch ECEF/ENU/NED helpers round-trip back to WGS and prove batch/per-sample equivalence; Wind Data, Temperature, Humidity, Pressure, and Outside Environmental Parameters exact-byte fixtures exercise event routing, unavailable-data sentinels, Temperature set-point and ShaftSeal source bytes, Temperature unknown-source rejection, Temperature reserved numeric special-value rejection, signed Humidity values/specials/min-max raw values, signed Humidity reserved numeric rejection, signed 0.1 Pa Actual Pressure scaling/min-max raw values, signed Pressure reserved numeric rejection, finite high clamping for unsigned environmental fields, Wind error-reference bytes, Wind reserved-reference rejection, Wind reserved numeric special-value rejection, Humidity reserved-source rejection, Pressure unknown-source rejection, high-end Outside Environmental pressure scaling, Outside Environmental encode/decode symmetry, Outside Environmental reserved numeric special-value rejection, and bad reserved-tail rejection; Engine Rapid reserved numeric special-value rejection is event-gated; Rate of Turn, Rudder, Water Depth, Fluid Level, Battery Status, Speed Water, and XTE fixtures exercise cache/event routing, signed scales, Battery Status signed reserved numeric rejection, Fluid Level valid/unavailable type bytes, reserved-type rejection, and reserved numeric special-value rejection, Speed Water valid/unavailable reference bytes, reserved-reference rejection, and reserved numeric special-value rejection, XTE mode/control bytes, reserved-mode rejection, and signed reserved numeric rejection, Rate of Turn signed upper/lower raw values and reserved signed-value rejection, Rudder field order and signed min/max clamping, Rudder reserved-control/reserved-direction rejection, Rudder reserved signed-value rejection, Rate of Turn/Rudder/Battery reserved-tail rejection, Water Depth reserved range-byte rejection, reserved depth/offset numeric special-value rejection, depth range/min-offset/high-depth bytes, and signed/clamped battery voltage/current values; fixed-size classic single-frame interface handlers reject short, overlong, bad reserved-tail, and bad reference/source/type/mode/control buffers instead of prefix/default-decoding malformed Message payloads; detailed-position unavailable-coordinate sentinels do not overwrite cache; arbitrary-payload property coverage spans enabled GNSS/environmental/navigation/power handlers and checks cached positions stay finite; needs recorded receiver/environmental/navigation/power sensor traces and external min/max/error captures."
NMEA2000,src/nmea/n2k_management.rs,NMEA2000 management PGNs,yes,yes,yes,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"PGN 126996 Product Information has a 134-byte payload fixture, first/last Fast Packet golden frames, management request-clear coverage, non-134-byte rejection, printable-ASCII decode/encode validation, malformed non-printable text fixture, and over-wide field encode rejection; PGN 126998 Config Information has text golden fixtures, first/last Fast Packet golden frames into management routing, trailing-byte rejection, 70-byte declared-length rejection, truncated declared-length fixture, printable-ASCII decode/encode validation with malformed non-printable text fixture, and over-wide field encode rejection instead of truncation; PGN 126993 Heartbeat has text golden fixtures, routing coverage, exact 8-byte rejection, sequence-byte reserved-bit rejection, reserved-tail padding rejection, and encode rejection for non-50 ms intervals, above-u16 wire intervals, and over-four-bit sequence counters; arbitrary-byte property coverage spans Product/Config/Heartbeat decoders and bounded arbitrary management handle/update output; add public trace captures."
NMEA0183,src/nmea/serial_gnss.rs,serial GNSS parser,no,yes,yes,unit+fixtures,yes,none,implemented-needs-external-oracle,"Mixed and garbage-soak raw serial-log fixtures cover garbage before first fix, chunked/irregular GGA/GSA/RMC/VTG/GLL/GSV/ZDA parsing, invalid and malformed-checksum rejection, invalid-coordinate cache preservation, malformed GLL/GSV/ZDA no-mutation behavior, oversized-line recovery, satellites-in-view capture, UTC date/time validation, and final speed/course cache behavior; add recorded real-receiver logs."
Bindings,src/ffi.rs,C ABI,yes,yes,no,integration+smoke+layout+compile-surface,yes,none,complete-by-tests,"The C ABI is the `machbus_session_*` surface (38 exported functions) over a single opaque `MachbusSession*` handle pinned at `MACHBUS_C_ABI_VERSION = 3`; the sans-IO loop is feed (`machbus_session_feed`) / tick (`machbus_session_tick`) / drain transmit (`machbus_session_poll_transmit`) / drain events (`machbus_session_poll_event`), with errors surfaced through `machbus_session_last_error`; `make bind-c-check` checks the generated `include/machbus.h` for drift, `make c-demo` builds `examples/c_abi/demo.c` and the `compile_surface.c`/`layout.c` compile-surface probes (every prototype exercised, C-header static layout assertions), and `make c-full-demo` builds and runs `examples/c_abi/full_demo.c`; add broader external-trace-backed C workflows."
Bindings,src/python/mod.rs,Python binding,yes,yes,no,smoke+fixtures+pytest-style+wheel-install,yes,none,complete-by-tests,"The Python binding exposes a single `machbus.Session` class over the sans-IO `Session` core (advance timers with `Session.tick`, feed received CAN frames, drain transmit frames and events); `make python-demo` runs `examples/python_binding/basic.py` and the pytest-shaped dependency-free `examples/python_binding/regression.py` runner with golden expected values for constructor shape, claim state, diagnostic SPNs, event-drop accounting, subsystem flags, client guard/state methods, event subtypes, and helper clamp output; the Makefile gate also builds a wheel, installs it into a fresh disposable venv with pip install --no-deps, verifies metadata/export shape, and reruns the regression smoke against the non-editable wheel install; add a multi-interpreter wheel matrix if publishing beyond the local abi3 smoke."
