part,feature_area,rust_surface,c_surface,python_surface,decision,evidence,next_action
ISO11783-9,tecu-maintain-power-strict-packed-field-extraction,MaintainPowerData packed field extraction,no extra C API,no extra Python API,internal-only,standard-suite,maintain maintain-power strict packed field extraction test
ISO11783-9,tecu-class-public-strict-decoder,TecuClass strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain TECU class strict decoder assertions
ISO11783-9,tecu-maintain-power-shutdown-request-window,PowerManager maintain-power timers,no extra C API,no extra Python API,internal-only,standard-suite,maintain shutdown freshness and CF cadence test
ISO11783-9,tecu-maintain-power-dual-rail-request-window,PowerManager maintain-power rail request handling,no extra C API,no extra Python API,internal-only,standard-suite,maintain dual-rail shutdown extension test
ISO11783-9,tecu-maintain-power-maximum-extension-limit,PowerManager maintain-power maximum extension,no extra C API,no extra Python API,internal-only,standard-suite,maintain maximum extension limit test
ISO11783-9,tecu-maintain-power-stack-source-lifecycle,session maintain-power routing,facade-through-session,facade-through-session,partial-facade,standard-suite,maintain session source-scoped lifecycle and invalid-source invalid-destination no-mutation tests
ISO11783-10,task-controller,src/isobus/tc,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,map every DDOP and process-data workflow to facade decision
ISO11783-10,tc-workflow-state-matrix,Task Controller workflow coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC workflow matrix coverage test
ISO11783-10,tc-ddop-minimal-graph-round-trip,DDOP parser serializer validator,no extra C API,no extra Python API,internal-only,standard-suite,maintain minimal graph DDOP round-trip test
ISO11783-10,tc-ddop-graph-reference-validation,DDOP graph validator,no extra C API,no extra Python API,internal-only,standard-suite,maintain DDOP graph reference validation tests
ISO11783-10,tc-ddop-null-and-self-reference-rejection,DDOP validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain null/self-reference DDOP validation test
ISO11783-10,tc-ddop-process-data-trigger-reserved-bits,DeviceProcessData and DDOP validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DDOP trigger reserved-bit test
ISO11783-10,tc-ddop-text-scale-encoding-validation,DDOP object field validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain text and scale validation test
ISO11783-10,tc-process-data-command-nibble-round-trip,TC process-data command codec,no extra C API,no extra Python API,internal-only,standard-suite,maintain command nibble round-trip test
ISO11783-10,tc-client-status-envelope-validation,TaskControllerClient status validation and session TC ingress,session-routed TC client,session-routed TC client,partial-facade,standard-suite,maintain TC client status envelope source destination and session no-mutation tests
ISO11783-10,tc-status-busy-source-and-binding,TaskControllerClient and TaskControllerServer status handling,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC status busy-source and binding test
ISO11783-10,tc-geo-gnss-position-ingress-validation,TCGEOInterface GNSS ingress validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain TC-GEO invalid source destination envelope and coordinate no-mutation test
ISO11783-10,tc-geo-prescription-rate-payload-validation,TCGEOInterface prescription rate helpers,no extra C API,no extra Python API,rust-only,standard-suite,maintain TC-GEO DDI resolution and range payload test
ISO11783-10,tc-geo-prescription-zone-exit-reentry-state,TCGEOInterface prescription-zone update state,no extra C API,no extra Python API,rust-only,standard-suite,maintain TC-GEO zone exit and re-entry state test
ISO11783-10,tc-geo-prescription-map-reload-state,TCGEOInterface prescription-map lifecycle,no extra C API,no extra Python API,rust-only,standard-suite,maintain TC-GEO map clear and reload state test
ISO11783-10,tc-lifecycle-request-envelope-validation,TaskControllerServer lifecycle request validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC lifecycle malformed-frame rejection test
ISO11783-10,tc-client-lifecycle-response-envelope-validation,TaskControllerClient lifecycle response validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC client lifecycle malformed-response test
ISO11783-10,tc-lifecycle-client-creation-and-label-guards,TaskControllerServer lifecycle client and label guards,no extra C API,no extra Python API,internal-only,standard-suite,maintain lifecycle allocation and label guard tests
ISO11783-10,tc-process-data-envelope-validation,TaskControllerClient and TaskControllerServer process-data validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC process-data malformed-payload test
ISO11783-10,tc-server-client-version-response-envelope-validation,TaskControllerServer client-version response validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC server malformed client-version source destination and session ingress rejection tests
ISO11783-10,tc-process-data-reserved-and-unsupported-command-rejection,TaskControllerClient and TaskControllerServer process-data command validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC reserved and unsupported process-data command test
ISO11783-10,tc-peer-control-assignment-and-registry-validation,TC peer-control registry and assignment codecs,no extra C API,no extra Python API,internal-only,standard-suite,maintain peer-control assignment registry tests
ISO11783-10,tc-peer-control-global-destination-rejection,TC peer-control assignment address validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain peer-control global-destination rejection test
ISO11783-10,tc-process-data-set-value-and-measurement-builders,TaskControllerServer process-data builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain set-value and measurement builder tests
ISO11783-10,tc-measurement-command-builder-bounds,TaskControllerServer measurement command builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC measurement command builder bounds test
ISO11783-10,tc-measurement-runtime-periodic-and-invalid-target-guards,TaskControllerServer measurement trigger runtime,no extra C API,no extra Python API,internal-only,standard-suite,maintain measurement runtime periodic and invalid-target tests
ISO11783-10,tc-measurement-threshold-crossing-runtime,TaskControllerServer measurement trigger runtime,no extra C API,no extra Python API,internal-only,standard-suite,maintain threshold crossing runtime test
ISO11783-10,tc-geo-process-data-value-header-canonicality,TCGEOInterface process-data payload builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC-GEO value-header canonicality test
ISO11783-10,tc-public-error-status-strict-decoders,TC server option public error decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain TC public strict error decoder test
ISO11783-10,tc-version-capability-option-reserved-bit-validation,TC client server capability option and topology-count validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain TC capability option reserved-bit and unadvertisable topology-count validation test
ISO11783-11,mobile-data-element-dictionary,src/isobus/tc/ddi_database.rs,not-exposed,not-exposed,rust-only,standard-suite,avoid exposing private dictionary tables through bindings and refresh generated table from newer public export
ISO11783-11,ddi-source-policy-matrix,DDI source-policy and public-reference coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain DDI source-policy matrix coverage test
ISO11783-11,ddi-source-policy-and-public-ddi-references,ddi_database metadata and public docs/example/helper DDI references plus custom-source guidance,not-exposed,not-exposed,rust-only,standard-suite,maintain source-policy public-reference no-magic-DDI custom-source-doc and DDOP helper semantic tests
ISO11783-11,ddi-proprietary-range-and-unknown-sentinel,DDI category helpers and DataDictionary sentinel,not-exposed,not-exposed,rust-only,standard-suite,maintain proprietary range and unknown sentinel test
ISO11783-11,ddi-engineering-conversion-boundaries,DDI engineering conversion helpers,not-exposed,not-exposed,rust-only,standard-suite,maintain engineering conversion boundary test
ISO11783-12,diagnostics,src/j1939/diagnostic.rs,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,maintain diagnostic service bad-envelope session coverage and add facade decisions for each new diagnostic service
ISO11783-12,diagnostics-service-state-matrix,Diagnostics service coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain diagnostics service matrix coverage test
ISO11783-12,diagnostics-dtc-and-fmi-reserved-value-validation,DTC FMI DM22 and DM25 decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DTC and FMI reserved-value tests
ISO11783-12,diagnostics-lamp-and-dtc-list-shape-validation,Diagnostic lamps and DTC-list decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain lamp and DTC-list shape tests
ISO11783-12,diagnostics-public-strict-lamp-decoders,Diagnostic lamp public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain public lamp strict decoder test
ISO11783-12,diagnostics-empty-dtc-placeholder-canonicality,DTC-list empty placeholder decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DTC-list placeholder canonicality test
ISO11783-12,diagnostics-empty-dtc-placeholder-position,DTC-list empty placeholder decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DTC-list placeholder position test
ISO11783-12,diagnostics-dm4-single-frame-canonical-padding,Dm4Message driver-information frame shape,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM4 canonical padding test
ISO11783-12,diagnostics-clear-all-and-broadcast-control-shapes,DmClearAllRequest and Dm13Signals decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain clear-all and broadcast-control tests
ISO11783-12,diagnostics-dm7-dm14-service-field-validation,Dm7Command and Dm14Request decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM7 service field and DM14 source/destination helper-envelope tests
ISO11783-12,diagnostics-dm14-command-public-strict-decoder,DM14 command strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain DM14 command strict decoder test
ISO11783-12,diagnostics-dm13-network-command-validation,Dm13Signals decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM13 undefined network-command test
ISO11783-12,diagnostics-dm13-strict-network-command-decoder,DM13 public command decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain DM13 strict network command decoder test
ISO11783-12,diagnostics-public-strict-service-field-decoders,DM13 suspend and DM14 pointer public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain diagnostics service field strict decoder test
ISO11783-12,diagnostics-dm13-suspend-signal-high-nibble-validation,Dm13Signals suspend signal decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM13 suspend-signal high-nibble test
ISO11783-12,diagnostics-dm15-memory-response-status-reserved-bits,Dm15Response decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM15 reserved-status test
ISO11783-12,diagnostics-dm15-status-public-strict-decoder,DM15 status strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain DM15 status strict decoder test
ISO11783-12,diagnostics-memory-access-command-and-transfer-boundaries,Dm14Request and Dm16Transfer validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM14 command/pointer and DM16 length-boundary tests
ISO11783-12,diagnostics-memory-service-stack-no-mutation,DmMemory session ingress validation,facade-through-session,facade-through-session,facade-exposed,standard-suite-and-bindings,maintain malformed and null-destination service-frame no-mutation test
ISO11783-12,diagnostics-service-stack-bad-envelope-no-mutation,Diagnostic service session ingress validation,facade-through-session,facade-through-session,facade-exposed,standard-suite-and-bindings,maintain bad-source and bad-destination diagnostic service no-mutation test
ISO11783-12,diagnostics-dm16-and-identification-variable-payloads,Dm16Transfer and EcuIdentification decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM16 and ECU identification variable payload tests
ISO11783-12,diagnostics-dm8-test-result-reserved-spn-bits,Dm8TestResult decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM8 reserved-bit test
ISO11783-12,diagnostics-dm22-control-reason-shape-validation,Dm22Message decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM22 control reason shape test
ISO11783-12,diagnostics-dm22-public-strict-service-decoders,DM22 control and NACK reason public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain DM22 public strict decoder assertions
ISO11783-12,diagnostics-monitor-ratio-freeze-frame-shapes,Dm20Response and FreezeFrame decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM20 and FreezeFrame shape tests
ISO11783-12,diagnostics-identification-readiness-driver-info-shapes,Dm4 Dm5 Dm9 Dm10 Dm21 decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain identification readiness and driver-info shape test
ISO11783-12,diagnostics-protocol-id-capability-bit-validation,DiagnosticProtocolId decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain protocol-id capability bit validation test
ISO11783-12,diagnostics-protocol-id-public-protocol-strict-decoder,DiagProtocol strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain diagnostic protocol public strict decoder test
ISO11783-12,diagnostics-protocol-id-outbound-reserved-bit-mask,DiagnosticProtocolId encode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain protocol-id outbound reserved-bit mask test
ISO11783-12,diagnostics-control-function-functionality-option-counts,Functionalities encode and decode validation,facade-through-session,facade-through-session,partial-facade,standard-suite,maintain canonical generation and option-count test
ISO11783-12,diagnostics-control-function-functionality-public-strict-decoder,Functionality strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain functionality public strict decoder test
ISO11783-12,diagnostics-control-function-functionality-count-and-generation-range,Functionalities minimum count and generation validation,facade-through-session,facade-through-session,partial-facade,standard-suite,maintain zero-count and minimum-CF preservation test
ISO11783-12,diagnostics-control-function-functionality-request-source-validation,Control Function Functionalities responder,facade-through-session,facade-through-session,partial-facade,standard-suite,maintain request invalid-source no-response test
ISO11783-12,diagnostics-product-software-identification-star-fields,ProductIdentification and SoftwareIdentification decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain product and software identification star-field test
ISO11783-12,diagnostics-identification-single-byte-text-validation,diagnostic identification text codecs,no extra C API,no extra Python API,internal-only,standard-suite,maintain single-byte diagnostic text validation test
ISO11783-12,diagnostics-dm25-freeze-frame-request-shape,Dm25Request decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain DM25 freeze-frame request shape test
ISO11783-13,file-server,src/isobus/fs,facade-through-session,facade-through-session,facade-exposed,standard-suite-and-bindings,maintain typed File Server event parity across C and Python
ISO11783-13,fs-operation-error-state-matrix,File Server operation/error checklist and standard tests,no extra C API,no extra Python API,internal-only,standard-suite,maintain operation matrix coverage test
ISO11783-13,fs-read-write-directory-counts,FsHandle::read/write,machbus_fs_read/write,fs_read/fs_write,facade-exposed,standard-suite-and-bindings,maintain two-byte count handling across Rust C Python and fixtures
ISO11783-13,fs-file-date-time,FsHandle::file_date_time,machbus_fs_file_date_time,fs_file_date_time,facade-exposed,standard-suite-and-bindings,maintain date time facade event parity
ISO11783-13,fs-file-date-time-field-range-validation,DOS date time range validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain File Server date time field range validation test
ISO11783-13,fs-client-reserved-error-code-rejection,FileClient response error-code parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain reserved File Server error-byte rejection test
ISO11783-13,file-server-public-error-strict-decoder,FSError strict public decoder and response-validation gate,no extra C API,no extra Python API,rust-only,standard-suite,maintain File Server public error strict decoder test and strict-gate consistency
ISO11783-13,file-server-legacy-transfer-error-strict-decoder,FileTransferError strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain legacy File Transfer error strict decoder test
ISO11783-13,file-server-legacy-operation-strict-decoder,FileOperation strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain legacy operation strict decoder test
ISO11783-13,file-server-function-public-strict-decoder,FSFunction strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain File Server function strict decoder test
ISO11783-13,file-server-volume-state-public-strict-decoders,VolumeState and VolumeStateV2 strict public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain File Server volume state strict decoder test
ISO11783-13,fs-removed-volume-current-directory-state,FileServer current-directory state,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain server-side media removal test
ISO11783-13,fs-removed-volume-path-operation-errors,FileServer media-state gates,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain server-side absent-media mutation test
ISO11783-13,fs-removed-volume-initialize-volume,FileServer initialize-volume gate,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain absent-media InitializeVolume rejection test
ISO11783-13,fs-client-removed-volume-cache-reset,FileClient volume status handling,facade-through-session,facade-through-session,facade-exposed,standard-suite,maintain removed-volume client cache reset test
ISO11783-13,fs-create-move-parent-directory-validation,FileServer path topology checks,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain parent-directory create move test
ISO11783-13,fs-open-dir-wildcard-final-component,FileServer OpenDir handling,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain wildcard OpenDir server test
ISO11783-13,fs-get-directory-attributes,FileServer attribute target typing,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain directory attribute server test
ISO11783-13,fs-client-tan-reserved-wrap,FileClient transaction number allocator,no extra C API,no extra Python API,internal-only,standard-suite,maintain client TAN reserved wrap test
ISO11783-13,fs-client-request-timeout-late-response-drop,FileClient request timeout and late-response handling,no extra C API,no extra Python API,internal-only,standard-suite,maintain request timeout boundary and late-response drop test
ISO11783-13,fs-reserved-file-handle-operation-rejection,FileServer file-handle validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain reserved file handle rejection test
ISO11783-13,fs-client-status-broadcast-canonical-shape,FileClient status broadcast parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain malformed status broadcast client test
ISO11783-13,fs-client-close-seek-success-canonical-shape,FileClient close and seek response validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain malformed close and seek success rejection test
ISO11783-13,fs-conflicting-open-access-modes,FileServer open access arbitration,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain conflicting open access server test
ISO11783-13,fs-volume-status-request-lifecycle,FileClient and FsHandle volume status methods,machbus_fs_volume_status prepare_volume_for_removal maintain_volume,fs_volume_status fs_prepare_volume_for_removal fs_maintain_volume,facade-exposed,standard-suite-and-bindings,maintain volume status request and event parsing tests
ISO11783-13,fs-v2-properties-volume-status-reserved-bit-validation,FileServerPropertiesV2 and VolumeStatus decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain v2 property and volume-status reserved-bit validation test
ISO11783-13,fs-v2-volume-status-name-validation,VolumeStatus decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain v2 volume-status name validation test
ISO11783-13,fs-v2-volume-status-capacity-consistency,VolumeStatus capacity accounting validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain v2 volume-status capacity consistency test
ISO11783-13,fs-status-open-file-count-range-validation,FileServerStatus response parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain File Server status open-file-count range validation test
ISO11783-13,fs-property-count-range-validation,File Server property count validators,no extra C API,no extra Python API,internal-only,standard-suite,maintain File Server property count range validation test
ISO11783-13,fs-property-version-range-validation,File Server property version validators,no extra C API,no extra Python API,internal-only,standard-suite,maintain File Server property version range validation test
ISO11783-13,fs-client-explicit-server-request-state-gates,File Client explicit properties and status refresh builders,no extra C API,no extra Python API,rust-only,standard-suite,maintain disconnected explicit server request rejection test
ISO11783-13,fs-client-volume-status-counted-name-and-pending-state,FileClient VolumeStatus response parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain malformed VolumeStatus pending-state test
ISO11783-13,fs-client-volume-status-tan-scope,FileClient VolumeStatus pending request table,no extra C API,no extra Python API,internal-only,standard-suite,maintain VolumeStatus TAN-scoped pending cleanup test
ISO11783-13,fs-client-volume-status-removal-time-range,FileClient VolumeStatus response parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain VolumeStatus removal-time range validation test
ISO11783-13,fs-client-volume-status-requested-name-match,FileClient VolumeStatus response parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain VolumeStatus requested-name matching test
ISO11783-13,fs-client-volume-status-name-validation,FileClient VolumeStatus response parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain malformed VolumeStatus name validation test
ISO11783-13,fs-volume-name-ascii-validation,shared File Server volume-name validator,no extra C API,no extra Python API,internal-only,standard-suite,maintain volume-name ASCII validation across client and server test
ISO11783-13,fs-client-current-directory-name-validation,FileClient GetCurrentDirectory response parser,no extra C API,no extra Python API,internal-only,standard-suite,maintain current-directory response name validation test
ISO11783-13,fs-client-path-byte-validation,FileClient path request builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain non-ASCII path request rejection test
ISO11783-13,fs-server-counted-path-byte-validation,FileServer counted path parsers,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain non-ASCII counted path parser rejection test
ISO11783-13,fs-initialize-volume-counted-request,FileServer InitializeVolume request parser,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain counted InitializeVolume request test
ISO11783-13,fs-client-management-request-surface,FileClient FsHandle move delete attribute initialize requests,machbus_fs_move_file delete_file file_attributes set_file_attributes initialize_volume,fs_move_file fs_delete_file fs_file_attributes fs_set_file_attributes fs_initialize_volume,facade-exposed,standard-suite-and-bindings,maintain file client management request validation and binding surface tests
ISO11783-13,fs-client-advertised-capability-request-gates,FileClient optional capability request guards,facade-through-session,facade-through-session,facade-exposed,standard-suite-and-bindings,maintain advertised capability request gate test
ISO11783-13,fs-tan-reuse-operation-mismatch-replay,FileServer TAN cache replay,no extra C API,no extra Python API,internal-only,standard-suite,maintain same-TAN different-operation replay test
ISO11783-13,fs-tan-cache-source-scope,FileServer TAN cache,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain source-scoped TAN cache test
ISO11783-13,fs-ccm-canonical-keepalive-connection,FileServer CCM keepalive parser,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain canonical CCM connection test
ISO11783-13,fs-server-ccm-liveness-separate-from-request-bookkeeping,FileServer client liveness tracking,server-owned behavior,server-owned behavior,internal-only,standard-suite,maintain non-CCM request bookkeeping versus CCM liveness test
ISO11783-13,fs-raw-endpoint-envelope-validation,FileClient and FileServer raw message ingress,no extra C API,no extra Python API,internal-only,standard-suite,maintain raw File Server wrong-PGN invalid-source null-destination no-mutation test
ISO11783-13,fs-stack-endpoint-envelope-validation,File Server session endpoint ingress,facade-through-session,facade-through-session,facade-exposed,standard-suite,maintain FS wrong/null-destination and invalid-source no-mutation tests
ISO11783-14,sequence-control,src/isobus/sc,facade-through-session,facade-through-session,facade-exposed,standard-suite-and-bindings,maintain master client lifecycle parity across C and Python
ISO11783-14,sc-supported-and-unsupported-state-matrix,Sequence Control state support matrix and standard tests,no extra C API,no extra Python API,internal-only,standard-suite,maintain state matrix coverage test
ISO11783-14,sc-wire-constants-and-public-enum-boundaries,SC constants and state enums,constant only no extra C API,constant only no extra Python API,internal-only,standard-suite,maintain wire constants and public enum tests
ISO11783-14,sc-public-status-enum-strict-decoders,SC status state enum strict decoders and status-validation gates,no extra C API,no extra Python API,rust-only,standard-suite,maintain SC public strict decoder test and strict-gate consistency
ISO11783-14,sc-master-client-lifecycle-and-visible-status,SCMaster and SCClient lifecycle state machines,facade-through-session,facade-through-session,facade-exposed,standard-suite-and-bindings,maintain lifecycle visible-status tests
ISO11783-14,sc-malformed-status-rejection,SC status validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain malformed status rejection test
ISO11783-14,sc-sequence-number-reserved-range,SC_MAX_SEQUENCE_STEP_ID and SC status validation,constant only no extra C API,constant only no extra Python API,internal-only,standard-suite,maintain reserved sequence-number rejection tests
ISO11783-14,sc-inactive-status-sequence-field-validation,SC status validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain inactive status sequence-field validation test
ISO11783-14,sc-reserved-raw-sequence-state-rejection,SC status parser raw sequence-state validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain reserved raw sequence-state rejection test
ISO11783-14,sc-unsupported-initialization-and-envelope-validation,SC status validation and session ingress envelope guards,session-routed SC,session-routed SC,partial-facade,standard-suite,maintain unsupported initialization source destination and endpoint validation tests
ISO11783-14,sc-two-client-acknowledgement-and-step-id-boundaries,SCMaster multi-client acknowledgement and step IDs,no extra C API,no extra Python API,internal-only,standard-suite,maintain two-client acknowledgement and step-id boundary tests
ISO11783-14,sc-master-disabled-client-active-ack-revocation,SCMaster active acknowledgement tracking,no extra C API,no extra Python API,internal-only,standard-suite,maintain disabled-client active acknowledgement revocation test
ISO11783-14,sc-timeout-abort-status-visibility,SCMaster timeout status emission,no extra C API,no extra Python API,internal-only,standard-suite,maintain timeout abort status visibility test
ISO11783-14,sc-client-busy-spacing-and-timeout,SCClient busy status pacing and timeout,no extra C API,no extra Python API,internal-only,standard-suite,maintain client busy spacing and timeout test
ISO11783-14,sc-master-busy-status-low-bits,SCMaster busy status flags and SCClient acceptance,no extra C API,no extra Python API,internal-only,standard-suite,maintain master busy low-bit status test
ISO11783-14,sc-client-inactive-master-session-reset,SCClient inactive master session reset,no extra C API,no extra Python API,internal-only,standard-suite,maintain inactive master session reset test
AEF-TIM,automation-authority-and-safe-state,src/isobus/tim.rs,not-exposed,not-exposed,rust-only,standard-suite,do not expose automation authority without stronger peer safety evidence
AEF-TIM,tim-authority-state-matrix,TIM authority option interlock and ingress coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain TIM authority matrix coverage test
AEF-TIM,tim-unsupported-option-request-no-mutation,TimAuthority request validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain unsupported option no-mutation test
AEF-TIM,tim-interlock-grant-safe-state-matrix,TimAuthority interlock grant validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain interlock grant matrix test
AEF-TIM,tim-invalid-source-ingress-validation,TIM status command decoders and session ingress,no extra C API,no extra Python API,internal-only,standard-suite,maintain invalid-source and PDU2-destination decode plus session no-event ingress tests
AEF-TIM,tim-revoked-authority-fresh-request-cycle,TimAuthority interlock state machine,no extra C API,no extra Python API,rust-only,standard-suite,maintain revoked-authority fresh-request test
AEF-TIM,tim-deny-revoke-safe-state-cycle,TimAuthority denial and manual revoke states,no extra C API,no extra Python API,rust-only,standard-suite,maintain deny revoke safe-state command-blocking test
AEF-TIM,tim-authority-rerequest-narrows-command-grant,TimAuthority re-request lifecycle,no extra C API,no extra Python API,rust-only,standard-suite,maintain re-request narrowing test
AEF-TIM,tim-empty-authority-request-rejection,TimAuthority request validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain empty authority request rejection test
AEF-TIM,tim-command-option-mapping-coverage,TimCommand to TimOption mapping,no extra C API,no extra Python API,rust-only,standard-suite,maintain command option mapping coverage test
AEF-TIM,tim-pto-hitch-status-pgn-envelope,PtoState and HitchState decode validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain TIM PTO and hitch PGN envelope checks
AEF-TIM,tim-aux-valve-pgn-group-validation,TIM aux-valve PGN group validation and session ingress,no extra C API,no extra Python API,internal-only,standard-suite,maintain aux-valve PGN group validation test
NMEA2000,selected-pgn-subset,src/nmea selected PGN inventory,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,maintain selected PGN inventory test and decide additional facade coverage after peer evidence
NMEA2000,selected-pgn-state-matrix,NMEA selected PGN coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain selected PGN matrix coverage test
NMEA2000,selected-pgn-ingress-envelope-gate,NMEAInterface source and PDU2 destination gate,no extra C API,no extra Python API,internal-only,standard-suite,maintain selected-PGN invalid-source and destination-metadata test
NMEA2000,selected-pgn-config-listen-gates,NMEAInterface listen-gate config,no extra C API,no extra Python API,internal-only,standard-suite,maintain selected PGN config-gate test
NMEA2000,selected-pgn-sequence-id-validation,NMEAInterface selected PGN SID validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain selected PGN reserved SID test
NMEA2000,selected-categorical-field-reserved-value-validation,NMEAInterface categorical field handlers,no extra C API,no extra Python API,internal-only,standard-suite,maintain selected categorical reserved-value test
NMEA2000,fast-packet-tx-sequence-counter-wrap,FastPacketProtocol transmit framing,no extra C API,no extra Python API,internal-only,standard-suite,maintain Fast Packet transmit sequence wrap test
NMEA2000,fast-packet-interleaved-session-keying,FastPacketProtocol receive reassembly,no extra C API,no extra Python API,internal-only,standard-suite,maintain interleaved source and sequence reassembly test
NMEA2000,fast-packet-classic-frame-length-validation,FastPacketProtocol receive frame validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain Fast Packet classic frame-length validation test
NMEA2000,fast-packet-rx-sequence-and-timeout-validation,FastPacketProtocol receive validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain Fast Packet receive sequence and timeout tests
NMEA2000,management-invalid-peer-address-rejection,N2KManagement request validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain management invalid-peer-address test
NMEA2000,management-pdu2-envelope-destination-validation,N2KManagement ingress envelope validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain management PDU2 destination validation test
